"Source:","/home/rostbot/Projekte/8bit/KONTROLLE/Schaltungen (2)/ALU/ALU.kicad_sch"
"Date:","So 10 Jul 2022 17:38:53 CEST"
"Tool:","Eeschema 6.0.6-3a73a75311~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","69"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","oc_mouser"
"","","C1","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C2","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C3","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C4","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C5","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C6","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C7","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C8","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C9","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C10","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C11","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C12","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C13","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C14","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C15","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C16","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C17","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C18","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
"","","C19","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~",""
